DriverNumber,Abbreviation,Q1Time,Q2Time,Q3Time,QualiPosition,Year,RaceNumber,BestQualiTime
16,LEC,0 days 00:01:31.471000,0 days 00:01:30.932000,0 days 00:01:30.558000,1.0,2022,1,90.558
1,VER,0 days 00:01:31.785000,0 days 00:01:30.757000,0 days 00:01:30.681000,2.0,2022,1,90.681
55,SAI,0 days 00:01:31.567000,0 days 00:01:30.787000,0 days 00:01:30.687000,3.0,2022,1,90.687
11,PER,0 days 00:01:32.311000,0 days 00:01:31.008000,0 days 00:01:30.921000,4.0,2022,1,90.921
44,HAM,0 days 00:01:32.285000,0 days 00:01:31.048000,0 days 00:01:31.238000,5.0,2022,1,91.238
77,BOT,0 days 00:01:31.919000,0 days 00:01:31.717000,0 days 00:01:31.560000,6.0,2022,1,91.56
20,MAG,0 days 00:01:31.955000,0 days 00:01:31.461000,0 days 00:01:31.808000,7.0,2022,1,91.808
14,ALO,0 days 00:01:32.346000,0 days 00:01:31.621000,0 days 00:01:32.195000,8.0,2022,1,92.195
63,RUS,0 days 00:01:32.269000,0 days 00:01:31.252000,0 days 00:01:32.216000,9.0,2022,1,92.216
10,GAS,0 days 00:01:32.096000,0 days 00:01:31.635000,0 days 00:01:32.338000,10.0,2022,1,92.338
31,OCO,0 days 00:01:32.041000,0 days 00:01:31.782000,,11.0,2022,1,91.782
47,MSC,0 days 00:01:32.380000,0 days 00:01:31.998000,,12.0,2022,1,91.998
4,NOR,0 days 00:01:32.239000,0 days 00:01:32.008000,,13.0,2022,1,92.008
23,ALB,0 days 00:01:32.726000,0 days 00:01:32.664000,,14.0,2022,1,92.664
24,ZHO,0 days 00:01:32.493000,0 days 00:01:33.543000,,15.0,2022,1,93.543
22,TSU,0 days 00:01:32.750000,,,16.0,2022,1,92.75
27,HUL,0 days 00:01:32.777000,,,17.0,2022,1,92.777
3,RIC,0 days 00:01:32.945000,,,18.0,2022,1,92.945
18,STR,0 days 00:01:33.032000,,,19.0,2022,1,93.032
6,LAT,0 days 00:01:33.634000,,,20.0,2022,1,93.634
11,PER,0 days 00:01:29.705000,0 days 00:01:28.924000,0 days 00:01:28.200000,1.0,2022,2,88.2
16,LEC,0 days 00:01:29.039000,0 days 00:01:28.780000,0 days 00:01:28.225000,2.0,2022,2,88.225
55,SAI,0 days 00:01:28.855000,0 days 00:01:28.686000,0 days 00:01:28.402000,3.0,2022,2,88.402
1,VER,0 days 00:01:28.928000,0 days 00:01:28.945000,0 days 00:01:28.461000,4.0,2022,2,88.461
31,OCO,0 days 00:01:30.093000,0 days 00:01:29.584000,0 days 00:01:29.068000,5.0,2022,2,89.068
63,RUS,0 days 00:01:29.680000,0 days 00:01:29.618000,0 days 00:01:29.104000,6.0,2022,2,89.104
14,ALO,0 days 00:01:29.978000,0 days 00:01:29.295000,0 days 00:01:29.147000,7.0,2022,2,89.147
