DriverNumber,Abbreviation,TeamName,GridPosition,Position,Status,Points,Year,RaceNumber,EventName,CircuitName
55,SAI,Ferrari,9.0,20.0,Spun off,0.0,2022,3,Australian Grand Prix,Melbourne
1,VER,Red Bull Racing,1.0,1.0,Finished,26.0,2022,4,Emilia Romagna Grand Prix,Imola
11,PER,Red Bull Racing,3.0,2.0,Finished,18.0,2022,4,Emilia Romagna Grand Prix,Imola
4,NOR,McLaren,5.0,3.0,Finished,15.0,2022,4,Emilia Romagna Grand Prix,Imola
63,RUS,Mercedes,11.0,4.0,Finished,12.0,2022,4,Emilia Romagna Grand Prix,Imola
77,BOT,Alfa Romeo,7.0,5.0,Finished,10.0,2022,4,Emilia Romagna Grand Prix,Imola
16,LEC,Ferrari,2.0,6.0,Finished,8.0,2022,4,Emilia Romagna Grand Prix,Imola
22,TSU,AlphaTauri,12.0,7.0,Finished,6.0,2022,4,Emilia Romagna Grand Prix,Imola
5,VET,Aston Martin,13.0,8.0,Finished,4.0,2022,4,Emilia Romagna Grand Prix,Imola
20,MAG,Haas F1 Team,8.0,9.0,Finished,2.0,2022,4,Emilia Romagna Grand Prix,Imola
18,STR,Aston Martin,15.0,10.0,+1 Lap,1.0,2022,4,Emilia Romagna Grand Prix,Imola
23,ALB,Williams,18.0,11.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola
10,GAS,AlphaTauri,17.0,12.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola
44,HAM,Mercedes,14.0,13.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola
31,OCO,Alpine,16.0,14.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola
24,ZHO,Alfa Romeo,0.0,15.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola
6,LAT,Williams,19.0,16.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola
47,MSC,Haas F1 Team,10.0,17.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola
3,RIC,McLaren,6.0,18.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola
14,ALO,Alpine,9.0,19.0,Collision damage,0.0,2022,4,Emilia Romagna Grand Prix,Imola
55,SAI,Ferrari,4.0,20.0,Collision,0.0,2022,4,Emilia Romagna Grand Prix,Imola
1,VER,Red Bull Racing,3.0,1.0,Finished,26.0,2022,5,Miami Grand Prix,Miami
16,LEC,Ferrari,1.0,2.0,Finished,18.0,2022,5,Miami Grand Prix,Miami
55,SAI,Ferrari,2.0,3.0,Finished,15.0,2022,5,Miami Grand Prix,Miami
11,PER,Red Bull Racing,4.0,4.0,Finished,12.0,2022,5,Miami Grand Prix,Miami
63,RUS,Mercedes,12.0,5.0,Finished,10.0,2022,5,Miami Grand Prix,Miami
44,HAM,Mercedes,6.0,6.0,Finished,8.0,2022,5,Miami Grand Prix,Miami
77,BOT,Alfa Romeo,5.0,7.0,Finished,6.0,2022,5,Miami Grand Prix,Miami
31,OCO,Alpine,20.0,8.0,Finished,4.0,2022,5,Miami Grand Prix,Miami
23,ALB,Williams,18.0,9.0,Finished,2.0,2022,5,Miami Grand Prix,Miami
18,STR,Aston Martin,0.0,10.0,Finished,1.0,2022,5,Miami Grand Prix,Miami
14,ALO,Alpine,11.0,11.0,Finished,0.0,2022,5,Miami Grand Prix,Miami
22,TSU,AlphaTauri,9.0,12.0,Finished,0.0,2022,5,Miami Grand Prix,Miami
3,RIC,McLaren,14.0,13.0,Finished,0.0,2022,5,Miami Grand Prix,Miami
6,LAT,Williams,19.0,14.0,Finished,0.0,2022,5,Miami Grand Prix,Miami
47,MSC,Haas F1 Team,15.0,15.0,Finished,0.0,2022,5,Miami Grand Prix,Miami
20,MAG,Haas F1 Team,16.0,16.0,Front wing,0.0,2022,5,Miami Grand Prix,Miami
5,VET,Aston Martin,0.0,17.0,Collision,0.0,2022,5,Miami Grand Prix,Miami
10,GAS,AlphaTauri,7.0,18.0,Suspension,0.0,2022,5,Miami Grand Prix,Miami
4,NOR,McLaren,8.0,19.0,Collision,0.0,2022,5,Miami Grand Prix,Miami
24,ZHO,Alfa Romeo,17.0,20.0,Water leak,0.0,2022,5,Miami Grand Prix,Miami
1,VER,Red Bull Racing,2.0,1.0,Finished,25.0,2022,6,Spanish Grand Prix,Barcelona
11,PER,Red Bull Racing,5.0,2.0,Finished,19.0,2022,6,Spanish Grand Prix,Barcelona
63,RUS,Mercedes,4.0,3.0,Finished,15.0,2022,6,Spanish Grand Prix,Barcelona
55,SAI,Ferrari,3.0,4.0,Finished,12.0,2022,6,Spanish Grand Prix,Barcelona
